Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
New Feature,Entregue,Sintesc,14/04/2023,-1900:23:00,
Bug,Entregue,Sintesc,14/04/2023,-40:09:00,-24:09:00
New Feature,Entregue,Sintesc,14/04/2023,-1312:11:00,-1296:11:00
New Feature,Entregue,Sintesc,14/04/2023,-461:34:00,-512:21:00
Bug,Entregue,Sintesc,13/04/2023,-32:00:00,-16:00:00
Bug,Entregue,Pro Labore,12/04/2023,03:33,19:33
Bug,Entregue,Sintesc,12/04/2023,-64:00:00,-48:00:00
Bug,Entregue,Sintesc,11/04/2023,-73:05:00,-75:00:00
Bug,Entregue,Sintesc,08/04/2023,00:00,16:00
Bug,Entregue,Sintesc,06/04/2023,-08:14:00,07:45
Bug,Entregue,Sintesc,05/04/2023,08:00,24:00:00
Bug,Entregue,Sintesc,05/04/2023,02:00,18:00
Bug,Entregue,Sintesc,05/04/2023,03:09,19:09
Bug,Entregue,Bulbe,04/04/2023,08:00,-37:11:00
HelpDesk Support,Resolvido,Bulbe,04/04/2023,05:41,21:41
Bug,Entregue,Sintesc,03/04/2023,01:33,17:33
Bug,Entregue,Sintesc,03/04/2023,-01:57:00,14:02
Bug,Entregue,Sintesc,03/04/2023,-11:55:00,04:04
Bug,Entregue,Sintesc,31/03/2023,-06:49:00,09:10
Bug,Entregue,Sintesc,31/03/2023,-11:18:00,04:41
Bug,Entregue,Bulbe,31/03/2023,-25:18:00,-32:32:00
Bug,Entregue,Sintesc,31/03/2023,-127:48:00,-111:48:00
Bug,Entregue,Visione,30/03/2023,07:42,23:42
Bug,Entregue,Visione,30/03/2023,07:41,23:41
Bug,Entregue,Visione,30/03/2023,07:37,23:37
Bug,Entregue,Visione,30/03/2023,07:36,23:36
Bug,Entregue,Visione,30/03/2023,07:35,23:35
Bug,Entregue,Visione,30/03/2023,06:55,22:55
Bug,Entregue,Visione,30/03/2023,06:43,22:43
Bug,Entregue,Visione,30/03/2023,06:43,22:43
Bug,Entregue,Visione,30/03/2023,06:41,22:41
Bug,Entregue,Visione,30/03/2023,06:38,22:38
Bug,Entregue,Visione,30/03/2023,06:30,22:30
Bug,Entregue,Visione,30/03/2023,06:28,22:28
Bug,Entregue,Visione,30/03/2023,06:26,22:26
Bug,Entregue,Sintesc,30/03/2023,05:04,-112:00:00
Bug,Entregue,Sintesc,30/03/2023,02:34,-01:14:00
Bug,Entregue,Sintesc,30/03/2023,01:08,17:05
Bug,Entregue,Sintesc,29/03/2023,-00:51:00,15:08
Bug,Entregue,Sintesc,24/03/2023,04:52,20:52
New Feature,Entregue,Bulbe,23/03/2023,-89:22:00,-73:22:00
Bug,Entregue,Sintesc,23/03/2023,-282:36:00,-274:55:00
Bug,Entregue,Sintesc,23/03/2023,-07:55:00,08:04
HelpDesk Support,Resolvido,Bulbe,22/03/2023,07:38,23:38
New Feature,Entregue,Bulbe,22/03/2023,-15:16:00,00:43
Bug,Entregue,Sintesc,21/03/2023,06:14,15:56
Bug,Entregue,Sintesc,21/03/2023,08:00,08:00
Bug,Entregue,Sintesc,21/03/2023,08:00,13:18
Bug,Entregue,Pro Labore,20/03/2023,05:25,-159:00:00
Bug,Entregue,Sintesc,20/03/2023,02:21,08:36
Bug,Entregue,Sintesc,20/03/2023,00:59,07:18
Bug,Entregue,Sintesc,20/03/2023,00:34,16:34
New Feature,Entregue,Bulbe,16/03/2023,-01:58:00,14:01
Bug,Entregue,Bulbe,16/03/2023,-01:38:00,14:20
Bug,Entregue,PedeQueVem!,16/03/2023,-32:13:00,-16:13:00
Bug,Entregue,Bulbe,14/03/2023,-05:06:00,10:53
Bug,Entregue,PedeQueVem!,14/03/2023,-48:23:00,-36:25:00
Bug,Entregue,PedeQueVem!,14/03/2023,07:48,13:13
Bug,Entregue,PedeQueVem!,13/03/2023,07:59,04:42
Bug,Entregue,Pro Labore,09/03/2023,07:46,19:01
New Feature,Entregue,Bulbe,08/03/2023,-32:47:00,-16:47:00
New Feature,Entregue,Bulbe,08/03/2023,-65:40:00,-55:36:00
New Feature,Entregue,Bulbe,08/03/2023,05:06,-42:53:00
Bug,Entregue,Bulbe,08/03/2023,04:02,17:24
New Feature,Entregue,Bulbe,07/03/2023,08:00,-48:00:00
Bug,Entregue,Bulbe,06/03/2023,07:59,14:09
Bug,Entregue,Bulbe,03/03/2023,07:05,23:05
Bug,Entregue,Bulbe,03/03/2023,06:33,22:33
Bug,Entregue,Bulbe,02/03/2023,07:57,10:57
New Feature,Entregue,Casa Pleno,02/03/2023,02:55,-16:31:00
Bug,Entregue,Pro Labore,02/03/2023,04:56,-16:46:00
Bug,Entregue,Sintesc,01/03/2023,06:14,22:14
Bug,Entregue,Sintesc,01/03/2023,07:42,21:34
Bug,Entregue,Pro Labore,01/03/2023,07:43,-35:05:00
Bug,Entregue,Casa Pleno,01/03/2023,07:05,-22:43:00
Bug,Entregue,Casa Pleno,01/03/2023,07:09,-22:45:00
Bug,Entregue,Casa Pleno,01/03/2023,07:15,-06:13:00
Bug,Entregue,Casa Pleno,01/03/2023,07:19,-06:01:00
New Feature,Entregue,Bulbe,01/03/2023,07:52,-50:08:00
Bug,Entregue,Bulbe,01/03/2023,07:54,-08:12:00
HelpDesk Support,Resolvido,Bulbe,28/02/2023,07:59,08:15
