Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
Bug,Entregue,Sintesc,29/11/2023,-62:42:00,-46:42:00
HelpDesk Support,Resolvido,Sintesc,28/11/2023,-95:34:00,-79:34:00
Bug,Entregue,Pro Labore,27/11/2023,-24:00:00,-71:51:00
Bug,Entregue,Pro Labore,24/11/2023,-83:06:00,-67:06:00
Bug,Entregue,Sintesc,23/11/2023,-45:50:00,-29:50:00
Bug,Entregue,Sintesc,21/11/2023,-06:04:00,09:55
Bug,Entregue,Sintesc,14/11/2023,-41:59:00,-25:59:00
Bug,Entregue,Sintesc,10/11/2023,-29:20:00,-13:20:00
New Feature,Entregue,Pro Labore,08/11/2023,-62:40:00,-46:40:00
New Feature,Entregue,Sintesc,03/11/2023,07:56,23:56
Bug,Entregue,SST BOT,03/11/2023,-39:14:00,-23:14:00
HelpDesk Support,Resolvido,Sintesc,02/11/2023,-24:00:00,-08:00:00
HelpDesk Support,Resolvido,Pro Labore,01/11/2023,-15:58:00,00:01
Bug,Entregue,PedeQueVem!,31/10/2023,-43:39:00,-27:39:00
Bug,Entregue,SST BOT,30/10/2023,06:20,22:20
Bug,Entregue,Sintesc,30/10/2023,-06:47:00,09:12
Bug,Entregue,PedeQueVem!,26/10/2023,02:50,18:50
Bug,Entregue,PedeQueVem!,26/10/2023,02:48,18:48
Bug,Entregue,PedeQueVem!,25/10/2023,-22:20:00,-06:20:00
Bug,Entregue,PedeQueVem!,25/10/2023,-22:25:00,-06:25:00
Bug,Entregue,PedeQueVem!,23/10/2023,-21:13:00,-05:13:00
Bug,Entregue,PedeQueVem!,23/10/2023,-21:14:00,-05:14:00
HelpDesk Support,Resolvido,PedeQueVem!,23/10/2023,-21:33:00,-584:36:00
Bug,Entregue,PedeQueVem!,23/10/2023,-21:15:00,-05:16:00
Bug,Entregue,Sintesc,21/10/2023,-23:55:00,-07:55:00
New Feature,Entregue,PedeQueVem!,21/10/2023,-96:35:00,-80:35:00
Bug,Entregue,PedeQueVem!,21/10/2023,-38:22:00,-22:22:00
